Date,Open,High,Low,Close,Adj Close,Volume,Close_Diff
2-May-06,1305.19,1313.66,1305.19,1313.21,1313.21,"2,403,470,000",5.09
1-May-06,1310.61,1317.21,1303.46,1305.19,1305.19,"2,437,040,000",-8.02
28-Apr-06,1309.72,1316.04,1306.16,1310.61,1310.61,"2,419,920,000",5.42
27-Apr-06,1305.41,1315,1295.57,1309.72,1309.72,"2,772,010,000",-0.89
26-Apr-06,1301.74,1310.97,1301.74,1305.41,1305.41,"2,502,690,000",-4.31
25-Apr-06,1308.11,1310.79,1299.17,1301.74,1301.74,"2,366,380,000",-3.67
24-Apr-06,1311.28,1311.28,1303.79,1308.11,1308.11,"2,117,330,000",6.37
21-Apr-06,1311.46,1317.67,1306.59,1311.28,1311.28,"2,392,630,000",3.17
20-Apr-06,1309.93,1318.16,1306.38,1311.46,1311.46,"2,512,920,000",0.18
19-Apr-06,1307.65,1310.39,1302.79,1309.93,1309.93,"2,447,310,000",-1.53
18-Apr-06,1285.33,1309.02,1285.33,1307.28,1307.28,"2,595,440,000",-2.65
17-Apr-06,1289.12,1292.45,1280.74,1285.33,1285.33,"1,794,650,000",-21.95
13-Apr-06,1288.12,1292.09,1283.37,1289.12,1289.12,"1,891,940,000",3.79
12-Apr-06,1286.57,1290.93,1286.45,1288.12,1288.12,"1,938,100,000",-1
11-Apr-06,1296.6,1300.71,1282.96,1286.57,1286.57,"2,232,880,000",-1.55
10-Apr-06,1295.51,1300.74,1293.17,1296.62,1296.62,"1,898,320,000",10.05
7-Apr-06,1309.04,1314.07,1294.18,1295.5,1295.5,"2,082,470,000",-1.12
6-Apr-06,1311.56,1311.99,1302.44,1309.04,1309.04,"2,281,680,000",13.54
5-Apr-06,1305.93,1312.81,1304.82,1311.56,1311.56,"2,420,020,000",2.52
4-Apr-06,1297.81,1307.55,1294.71,1305.93,1305.93,"2,147,660,000",-5.63
3-Apr-06,1302.88,1309.19,1296.65,1297.81,1297.81,"2,494,080,000",-8.12
31-Mar-06,1300.25,1303,1294.87,1294.87,1294.87,"2,236,710,000",-2.94
30-Mar-06,1302.89,1310.15,1296.72,1300.25,1300.25,"2,294,560,000",5.38
